# Matter power spectrum P(k) at redshift z=10
# for k=1.04684e-05 to 1.49786 h/Mpc,
# number of wavenumbers equal to 525
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.355833765715e-02       3.256835666015e+02 
       1.368776783776e-02       3.262655000087e+02 
       1.381723438115e-02       3.268187482117e+02 
       1.394673740582e-02       3.273439591481e+02 
       1.407627705326e-02       3.278411489239e+02 
       1.420585348759e-02       3.283108546803e+02 
       1.433546689523e-02       3.287535430366e+02 
       1.446511748463e-02       3.291692806391e+02 
       1.459480548595e-02       3.295584382126e+02 
       1.472453115090e-02       3.299215136689e+02 
       1.485429475248e-02       3.302624334186e+02 
       1.498409658484e-02       3.305753014705e+02 
       1.511393696312e-02       3.308620842412e+02 
       1.524381622332e-02       3.311237163494e+02 
       1.537373472222e-02       3.313609672014e+02 
       1.550369283729e-02       3.315737564671e+02 
       1.563369096668e-02       3.317628806522e+02 
       1.576372952911e-02       3.319281739333e+02 
       1.589380896397e-02       3.320703242892e+02 
       1.602392973125e-02       3.321896301786e+02 
       1.615409231161e-02       3.322859230023e+02 
       1.628429720645e-02       3.323600505433e+02 
       1.641454493795e-02       3.324121667813e+02 
       1.654483604919e-02       3.324423894835e+02 
       1.667517110425e-02       3.324512824692e+02 
       1.680555068835e-02       3.324389124154e+02 
       1.693597540797e-02       3.324055286851e+02 
       1.706644589107e-02       3.323517633763e+02 
       1.719696278722e-02       3.322774501213e+02 
       1.732752676783e-02       3.321832343335e+02 
       1.745813852635e-02       3.320694121360e+02 
       1.758879877852e-02       3.319359756210e+02 
       1.771950826263e-02       3.317835994755e+02 
       1.785026773973e-02       3.316119848962e+02 
       1.798107799400e-02       3.314220113189e+02 
       1.811193983298e-02       3.312133449846e+02 
       1.824285408792e-02       3.309868716193e+02 
       1.837382161413e-02       3.307428464420e+02 
       1.850484329127e-02       3.304807025329e+02 
       1.863592002380e-02       3.302013644936e+02 
       1.876705274130e-02       3.299051519725e+02 
       1.889824239889e-02       3.295922598906e+02 
       1.902948997766e-02       3.292627726113e+02 
       1.916079648512e-02       3.289170724069e+02 
       1.929216295559e-02       3.285552552977e+02 
       1.942359045077e-02       3.281780752974e+02 
       1.955508006012e-02       3.277847013569e+02 
       1.968663290148e-02       3.273764829550e+02 
       1.981825012149e-02       3.269531618811e+02 
       1.994993289621e-02       3.265152227343e+02 
       2.008168243169e-02       3.260629589653e+02 
       2.021349996447e-02       3.255963201579e+02 
       2.034538676230e-02       3.251155119773e+02 
       2.047734412467e-02       3.246209546328e+02 
       2.060937338351e-02       3.241127409873e+02 
       2.074147590386e-02       3.235912148581e+02 
