# Matter power spectrum P(k) at redshift z=5
# for k=1.04684e-05 to 1.66088 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.046838254073e-05       2.121031185146e+00 
       1.317891280091e-05       2.649424651655e+00 
       1.659126822489e-05       3.309449951689e+00 
       2.088716918220e-05       4.133896758054e+00 
       2.629538806392e-05       5.163720714750e+00 
       3.310393224666e-05       6.450075042610e+00 
       4.167538153563e-05       8.056845881451e+00 
       5.246619686142e-05       1.006381388248e+01 
       6.605102848904e-05       1.257059342649e+01 
       8.315331823999e-05       1.570153334890e+01 
       1.046838254073e-04       1.961179863652e+01 
       1.317891280091e-04       2.449488987776e+01 
       1.659126822489e-04       3.059188255037e+01 
       2.088716918220e-04       3.820266865064e+01 
       2.629538806392e-04       4.769941539172e+01 
       3.310393224666e-04       5.954225389004e+01 
       4.167538153563e-04       7.429674733724e+01 
       5.246619686142e-04       9.265178027592e+01 
       6.605102848904e-04       1.154349425317e+02 
       8.315331823999e-04       1.436202244906e+02 
       1.046838254073e-03       1.783205640618e+02 
       1.317891280091e-03       2.207574124560e+02 
       1.659126822489e-03       2.721951108035e+02 
       2.088716918220e-03       3.338634354139e+02 
       2.629538806392e-03       4.067755933500e+02 
       3.310393224666e-03       4.914263011301e+02 
       4.167538153563e-03       5.873749818749e+02 
       5.246619686142e-03       6.927370675957e+02 
       6.605102848904e-03       8.035398770082e+02 
       8.315331823999e-03       9.130128210172e+02 
       1.046838254073e-02       1.010884028491e+03 
       1.317891280091e-02       1.082971473105e+03 
       1.659126822486e-02       1.111825703205e+03 
       2.088716902345e-02       1.080216027372e+03 
       2.629526574432e-02       9.799765284519e+02 
       3.308683386431e-02       8.262414543839e+02 
       4.110130084332e-02       6.717444379242e+02 
       4.788064447212e-02       5.828830011919e+02 
       5.279327454907e-02       5.392539492634e+02 
       5.684083138931e-02       5.120823435239e+02 
       6.045301641725e-02       4.915861821313e+02 
       6.382106366620e-02       4.736826762153e+02 
       6.704605664702e-02       4.563163848975e+02 
       7.018854821622e-02       4.383896974467e+02 
       7.328828491682e-02       4.193751403742e+02 
       7.637326282767e-02       3.991397193363e+02 
       7.946435931738e-02       3.778478070777e+02 
       8.257790514349e-02       3.558861814375e+02 
       8.572720774642e-02       3.337902642288e+02 
       8.892350111692e-02       3.121737685537e+02 
       9.217656349830e-02       2.916537502298e+02 
       9.549513321785e-02       2.727807585372e+02 
       9.888719674166e-02       2.559806087905e+02 
       1.023601929661e-01       2.415096939969e+02 
       1.059211608888e-01       2.294275330196e+02 
       1.095768479589e-01       2.195860087619e+02 
       1.133337904596e-01       2.116341081669e+02 
       1.171983735902e-01       2.050423574515e+02 
       1.211768765583e-01       1.991494276532e+02 
       1.252755064744e-01       1.932385792452e+02 
       1.295004238357e-01       1.866508246270e+02 
       1.338577617203e-01       1.789105662204e+02 
       1.383536403699e-01       1.698423956242e+02 
       1.429941785452e-01       1.596259968445e+02 
       1.477855028418e-01       1.487672828849e+02 
       1.527337560311e-01       1.379787647795e+02 
       1.578451054088e-01       1.280069258675e+02 
       1.631257520845e-01       1.194406446735e+02 
       1.685819421135e-01       1.125618217621e+02 
       1.742199803529e-01       1.072845552702e+02 
       1.800462479109e-01       1.031608337935e+02 
       1.860672240483e-01       9.953588554676e+01 
       1.922895133880e-01       9.567186367036e+01 
       1.987198792910e-01       9.100256414561e+01 
       2.053652842697e-01       8.542953858542e+01 
       2.122329383440e-01       7.934928125791e+01 
       2.193303563010e-01       7.341337104129e+01 
       2.266654249187e-01       6.820340378024e+01 
       2.342464813618e-01       6.402315650207e+01 
       2.420824041728e-01       6.079497915301e+01 
       2.501827185893e-01       5.806791655953e+01 
       2.585577183364e-01       5.527149292272e+01 
       2.672186066077e-01       5.206401909853e+01 
       2.761776597031e-01       4.849370038354e+01 
       2.854484177880e-01       4.494525322799e+01 
       2.950459085576e-01       4.185509353212e+01 
       3.049869113365e-01       3.935094883423e+01 
       3.152902714703e-01       3.721575510777e+01 
       3.259772779904e-01       3.510515023591e+01 
       3.370721217644e-01       3.281865339140e+01 
       3.486024571612e-01       3.048053802688e+01 
       3.606000983321e-01       2.833796729506e+01 
       3.731018926120e-01       2.650675805859e+01 
       3.861508298726e-01       2.484666122890e+01 
       3.997974704700e-01       2.317984008705e+01 
       4.141018097800e-01       2.149641655025e+01 
       4.291357508852e-01       1.992323133507e+01 
       4.449864399589e-01       1.850461424506e+01 
       4.617608506186e-01       1.716379958330e+01 
       4.795922183591e-01       1.583329030285e+01 
       4.986492873030e-01       1.456269466666e+01 
       5.191499594645e-01       1.338404828822e+01 
       5.413820712071e-01       1.223760249440e+01 
       5.657361618917e-01       1.112582278049e+01 
       5.927593414235e-01       1.006301977932e+01 
       6.232482534737e-01       9.020015748200e+00 
       6.584189757001e-01       7.999268661931e+00 
       7.002391507253e-01       6.982296491198e+00 
       7.521290423117e-01       5.956762482814e+00 
       8.205607699324e-01       4.900044736876e+00 
       9.188378126473e-01       3.791818754390e+00 
       1.074142796205e+00       2.649015960942e+00 
       1.321540063168e+00       1.632804591062e+00 
       1.660879919507e+00       9.486162278694e-01 
