# Matter power spectrum P(k) at redshift z=1
# for k=1.04684e-05 to 1.49786 h/Mpc,
# number of wavenumbers equal to 525
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.046838254073e-05       1.758122639904e+01 
       2.339239294690e-05       3.822828736852e+01 
       3.636211258110e-05       5.853934019688e+01 
       4.941267169675e-05       7.872350347437e+01 
       6.257978506766e-05       9.890146606263e+01 
       7.590007257106e-05       1.191647235005e+02 
       8.941139008165e-05       1.395922125243e+02 
       1.031531751052e-04       1.602571526590e+02 
       1.171668116135e-04       1.812305661167e+02 
       1.314960185763e-04       2.025834299672e+02 
       1.461872666915e-04       2.243881892158e+02 
       1.612902277501e-04       2.467199442464e+02 
       1.768582608843e-04       2.696574777472e+02 
       1.929489395610e-04       2.932841995546e+02 
       2.096246224918e-04       3.176890607586e+02 
       2.269530705071e-04       3.429674601075e+02 
       2.450081096992e-04       3.692221576614e+02 
       2.638703385590e-04       3.965641982375e+02 
       2.836278731210e-04       4.251138381436e+02 
       3.043771189505e-04       4.550014570426e+02 
       3.262235517688e-04       4.863684255660e+02 
       3.492824791840e-04       5.193678862713e+02 
       3.736797440101e-04       5.541653824069e+02 
       3.995523147497e-04       5.909392546345e+02 
       4.270486910436e-04       6.298806952404e+02 
       4.563290318473e-04       6.711933265450e+02 
       4.875648932553e-04       7.150921454906e+02 
       5.209384440046e-04       7.618016576992e+02 
       5.566410141291e-04       8.115530103091e+02 
       5.948708322125e-04       8.645799602252e+02 
       6.358298269272e-04       9.211135466296e+02 
       6.797194172148e-04       9.813754370862e+02 
       7.267352989175e-04       1.045570036900e+03 
       7.770613550747e-04       1.113875650910e+03 
       8.308629645091e-04       1.186435180056e+03 
       8.882801386995e-04       1.263347035013e+03 
       9.494210483803e-04       1.344657104259e+03 
       1.014356570580e-03       1.430352650869e+03 
       1.083116460410e-03       1.520358891876e+03 
       1.155687614839e-03       1.614538798884e+03 
       1.232014661873e-03       1.712696256754e+03 
       1.312002821567e-03       1.814582346141e+03 
       1.395522706726e-03       1.919894764304e+03 
       1.482416520757e-03       2.028310017110e+03 
       1.572505006192e-03       2.139484173215e+03 
       1.665594506830e-03       2.253056777314e+03 
       1.761483607374e-03       2.368666080201e+03 
       1.859968968452e-03       2.485957561184e+03 
       1.960850141653e-03       2.604590629775e+03 
       2.063933297594e-03       2.724243720789e+03 
       2.169033912537e-03       2.844617202041e+03 
       2.275978531207e-03       2.965435231408e+03 
       2.384605759394e-03       3.086446455375e+03 
       2.494766648282e-03       3.207423451660e+03 
       2.606324622691e-03       3.328162153505e+03 
       2.719155085692e-03       3.448480528028e+03 
       2.833144808513e-03       3.568217217552e+03 
       2.948191191127e-03       3.687229507544e+03 
       3.064201457834e-03       3.805392554424e+03 
       3.181091834265e-03       3.922596283209e+03 
       3.298786737969e-03       4.038745178695e+03 
       3.417218003632e-03       4.153756491268e+03 
       3.536324155751e-03       4.267557267228e+03 
       3.656049735545e-03       4.380086087337e+03 
       3.776344684708e-03       4.491289709520e+03 
       3.897163785761e-03       4.601123328297e+03 
       4.018466156887e-03       4.709548634844e+03 
       4.140214798067e-03       4.816533347788e+03 
       4.262376184676e-03       4.922052173410e+03 
       4.384919904513e-03       5.026082662077e+03 
       4.507818334176e-03       5.128609019950e+03 
       4.631046350859e-03       5.229615959114e+03 
       4.754581075876e-03       5.329094764970e+03 
       4.878401646475e-03       5.427040597362e+03 
       5.002489012830e-03       5.523447252299e+03 
       5.126825757376e-03       5.618312197466e+03 
       5.251395933948e-03       5.711635917479e+03 
       5.376184924470e-03       5.803420051420e+03 
       5.501179311156e-03       5.893669728207e+03 
       5.626366762470e-03       5.982387673836e+03 
       5.751735931236e-03       6.069580835723e+03 
       5.877276363516e-03       6.155256642432e+03 
       6.002978417038e-03       6.239424890456e+03 
       6.128833188064e-03       6.322072418701e+03 
       6.254832445767e-03       6.403389066599e+03 
       6.380968573268e-03       6.483185444892e+03 
       6.507234514587e-03       6.561383001347e+03 
       6.633623726859e-03       6.638126092057e+03 
       6.760130137242e-03       6.713433180514e+03 
       6.886748104005e-03       6.787314503355e+03 
       7.013472381345e-03       6.859775462105e+03 
       7.140298087538e-03       6.930825876067e+03 
       7.267220676083e-03       7.000478249613e+03 
       7.394235909504e-03       7.068746638497e+03 
       7.521339835562e-03       7.135648973518e+03 
       7.648528765610e-03       7.201203429199e+03 
       7.775799254893e-03       7.265411180929e+03 
       7.903148084580e-03       7.328284575670e+03 
       8.030572245374e-03       7.389832310210e+03 
       8.158068922532e-03       7.450079958318e+03 
       8.285635482171e-03       7.509043667377e+03 
       8.413269458728e-03       7.566732619112e+03 
       8.540968543466e-03       7.623159835333e+03 
       8.668730573937e-03       7.678342422913e+03 
       8.796553524298e-03       7.732291240575e+03 
       8.924435496422e-03       7.785016569816e+03 
       9.052374711707e-03       7.836534354962e+03 
       9.180369503552e-03       7.886851609444e+03 
       9.308418310408e-03       7.935990702198e+03 
       9.436519669376e-03       7.983959816206e+03 
       9.564672210306e-03       8.030771541325e+03 
       9.692874650330e-03       8.076442545781e+03 
       9.821125788825e-03       8.120982542317e+03 
       9.949424502743e-03       8.164402851812e+03 
       1.007776974230e-02       8.206712831654e+03 
       1.020616052695e-02       8.247935880145e+03 
       1.033459594173e-02       8.288048415542e+03 
       1.046307513378e-02       8.327145818115e+03 
       1.059159730915e-02       8.365159634219e+03 
       1.072016172989e-02       8.402132731077e+03 
       1.084876771125e-02       8.438065562859e+03 
       1.097741461915e-02       8.472978893733e+03 
       1.110610186783e-02       8.506883871697e+03 
       1.123482891760e-02       8.539794402231e+03 
       1.136359527282e-02       8.571710413674e+03 
       1.149240047999e-02       8.602660764438e+03 
       1.162124412597e-02       8.632644075982e+03 
       1.175012583636e-02       8.661673728080e+03 
       1.187904527390e-02       8.689766671662e+03 
       1.200800213714e-02       8.716921477335e+03 
       1.213699615901e-02       8.743165256887e+03 
       1.226602710567e-02       8.768487719020e+03 
       1.239509477532e-02       8.792920412945e+03 
       1.252419899714e-02       8.816471706111e+03 
