# Matter power spectrum P(k) at redshift z=5
# for k=1.04684e-05 to 1.49786 h/Mpc,
# number of wavenumbers equal to 525
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.355833765715e-02       1.089238709383e+03 
       1.368776783776e-02       1.091184357002e+03 
       1.381723438115e-02       1.093034130239e+03 
       1.394673740582e-02       1.094790232622e+03 
       1.407627705326e-02       1.096452470413e+03 
       1.420585348759e-02       1.098022662084e+03 
       1.433546689523e-02       1.099502367592e+03 
       1.446511748463e-02       1.100891765404e+03 
       1.459480548595e-02       1.102192151175e+03 
       1.472453115090e-02       1.103405497530e+03 
       1.485429475248e-02       1.104532380002e+03 
       1.498409658484e-02       1.105573418657e+03 
       1.511393696312e-02       1.106531124401e+03 
       1.524381622332e-02       1.107405258080e+03 
       1.537373472222e-02       1.108197841461e+03 
       1.550369283729e-02       1.108908576582e+03 
       1.563369096668e-02       1.109540219477e+03 
       1.576372952911e-02       1.110092092489e+03 
       1.589380896397e-02       1.110566659917e+03 
       1.602392973125e-02       1.110964860443e+03 
       1.615409231161e-02       1.111286107044e+03 
       1.628429720645e-02       1.111533237318e+03 
       1.641454493795e-02       1.111706748995e+03 
       1.654483604919e-02       1.111807099160e+03 
       1.667517110425e-02       1.111836069302e+03 
       1.680555068835e-02       1.111793976260e+03 
       1.693597540797e-02       1.111681667279e+03 
       1.706644589107e-02       1.111501130275e+03 
       1.719696278722e-02       1.111251818053e+03 
       1.732752676783e-02       1.110936192556e+03 
       1.745813852635e-02       1.110554903304e+03 
       1.758879877852e-02       1.110107966578e+03 
       1.771950826263e-02       1.109597797798e+03 
       1.785026773973e-02       1.109023249686e+03 
       1.798107799400e-02       1.108387320958e+03 
       1.811193983298e-02       1.107688846523e+03 
       1.824285408792e-02       1.106930875752e+03 
       1.837382161413e-02       1.106114268089e+03 
       1.850484329127e-02       1.105237029486e+03 
       1.863592002380e-02       1.104302298162e+03 
       1.876705274130e-02       1.103311119970e+03 
       1.889824239889e-02       1.102264220821e+03 
       1.902948997766e-02       1.101161819616e+03 
       1.916079648512e-02       1.100005198598e+03 
       1.929216295559e-02       1.098794662520e+03 
       1.942359045077e-02       1.097532812452e+03 
       1.955508006012e-02       1.096216791123e+03 
       1.968663290148e-02       1.094851114375e+03 
       1.981825012149e-02       1.093434978228e+03 
       1.994993289621e-02       1.091969949697e+03 
       2.008168243169e-02       1.090457018389e+03 
       2.021349996447e-02       1.088895983352e+03 
       2.034538676230e-02       1.087287654983e+03 
       2.047734412467e-02       1.085633311176e+03 
       2.060937338351e-02       1.083933301670e+03 
       2.074147590386e-02       1.082188782261e+03 
       2.087365308451e-02       1.080403293310e+03 
       2.100590635878e-02       1.078571059148e+03 
       2.113823719520e-02       1.076697316752e+03 
       2.127064709831e-02       1.074782562176e+03 
       2.140313760942e-02       1.072827192371e+03 
       2.153571030742e-02       1.070832781429e+03 
       2.166836680964e-02       1.068797220620e+03 
       2.180110877266e-02       1.066722292182e+03 
       2.193393789327e-02       1.064612558223e+03 
       2.206685590930e-02       1.062465678259e+03 
       2.219986460063e-02       1.060281318934e+03 
       2.233296579017e-02       1.058062368855e+03 
       2.246616134478e-02       1.055807984103e+03 
       2.259945317641e-02       1.053518195479e+03 
       2.273284324311e-02       1.051195945462e+03 
       2.286633355014e-02       1.048839279163e+03 
       2.299992615110e-02       1.046451583338e+03 
       2.313362314912e-02       1.044031315151e+03 
       2.326742669807e-02       1.041580976274e+03 
       2.340133900379e-02       1.039101477068e+03 
       2.353536232536e-02       1.036593228219e+03 
       2.366949897648e-02       1.034052793517e+03 
       2.380375132678e-02       1.031484479711e+03 
       2.393812180328e-02       1.028889483927e+03 
       2.407261289180e-02       1.026266596232e+03 
       2.420722713852e-02       1.023617514666e+03 
       2.434196715146e-02       1.020944455193e+03 
       2.447683560216e-02       1.018245247393e+03 
       2.461183522726e-02       1.015519034054e+03 
       2.474696883025e-02       1.012770743694e+03 
       2.488223928324e-02       1.010000522079e+03 
       2.501764952876e-02       1.007203249644e+03 
       2.515320258161e-02       1.004385618391e+03 
       2.528890153088e-02       1.001548081235e+03 
       2.542474954189e-02       9.986902648595e+02 
       2.556074985830e-02       9.958081204805e+02 
       2.569690580423e-02       9.929054805535e+02 
       2.583322078649e-02       9.899864439902e+02 
       2.596969829688e-02       9.870463092378e+02 
       2.610634191455e-02       9.840895393438e+02 
       2.624315530844e-02       9.811124513457e+02 
       2.638014223984e-02       9.781190421253e+02 
       2.651730656499e-02       9.751101213346e+02 
       2.665465223784e-02       9.720851612316e+02 
       2.679218331281e-02       9.690393273010e+02 
       2.692990394772e-02       9.659800907129e+02 
       2.706781840682e-02       9.629082173126e+02 
       2.720593106394e-02       9.598202740508e+02 
       2.734424640564e-02       9.567193345295e+02 
       2.748276903465e-02       9.536033048998e+02 
       2.762150367334e-02       9.504731320766e+02 
       2.776045516726e-02       9.473340761325e+02 
       2.789962848899e-02       9.441786768004e+02 
       2.803902874191e-02       9.410147641665e+02 
       2.817866116432e-02       9.378375395438e+02 
       2.831853113357e-02       9.346503966103e+02 
       2.845864417041e-02       9.314517047526e+02 
       2.859900594353e-02       9.282412904943e+02 
       2.873962227420e-02       9.250246038801e+02 
       2.888049914118e-02       9.217977960561e+02 
       2.902164268576e-02       9.185601439004e+02 
       2.916305921703e-02       9.153147587968e+02 
       2.930475521734e-02       9.120613118312e+02 
       2.944673734804e-02       9.087997815800e+02 
       2.958901245535e-02       9.055314325591e+02 
       2.973158757658e-02       9.022552961047e+02 
       2.987446994652e-02       8.989725869572e+02 
       3.001766700418e-02       8.956830231058e+02 
       3.016118639972e-02       8.923894905870e+02 
       3.030503600178e-02       8.890884326793e+02 
       3.044922390502e-02       8.857814837185e+02 
       3.059375843807e-02       8.824687995629e+02 
       3.073864817176e-02       8.791532591642e+02 
       3.088390192779e-02       8.758325084795e+02 
